Tool_Type,Brand,Tool_Age_Days,Days_Since_Last_Cal,Total_Checkouts,Total_Usage_Hours,Avg_Duration_Hours,Unique_Users,Past_Failures,Env_Stress_Index,Criticality_Score,Maintenance_Cost,Label_Recommended_Days_Until_Cal
Hydraulic Pump,Snap-on,1543,9,93,260.5,2.8,37,0,76,2,154.3,144
Pneumatic Drill,Bosch,1363,95,226,506.4,2.2,124,2,41,3,436.3,49
Pneumatic Drill,Fluke,189,140,217,1067.7,4.9,125,0,89,3,18.9,16
Multimeter,Snap-on,1443,74,83,371.9,4.5,16,2,7,2,444.3,82
Multimeter,Snap-on,488,216,104,838.6,8.1,78,0,26,2,48.8,20
Hydraulic Pump,Fluke,809,32,89,309.7,3.5,51,1,91,2,230.9,127
Pneumatic Drill,Facom,673,23,61,285.7,4.7,31,0,89,3,67.3,140
Digital Torque Wrench,Bosch,1073,196,194,435.6,2.2,39,1,29,5,257.3,-6
Borescope,Snap-on,806,143,35,114.0,3.3,12,0,2,2,80.6,45
Pneumatic Drill,Facom,579,134,230,1357.4,5.9,46,0,31,3,57.9,15
Multimeter,Snap-on,265,261,73,267.2,3.7,47,0,44,2,26.5,6
Multimeter,Snap-on,800,133,101,741.1,7.3,80,0,24,2,80.0,8
Borescope,Bosch,1031,137,148,721.3,4.9,96,2,85,2,403.1,6
Multimeter,Bosch,326,152,20,174.2,8.7,14,0,34,2,32.6,20
Digital Torque Wrench,Snap-on,1798,89,162,534.6,3.3,42,0,29,5,179.8,27
Digital Torque Wrench,Facom,30,256,100,281.2,2.8,38,0,66,5,3.0,21
Pneumatic Drill,Bosch,1118,167,499,2068.6,4.1,305,1,34,3,261.8,-4
Digital Torque Wrench,Makita,1796,98,189,479.6,2.5,150,2,93,5,479.6,53
Digital Torque Wrench,Facom,1802,189,31,105.2,3.4,10,2,40,5,480.2,7
Digital Torque Wrench,Facom,1671,303,120,304.0,2.5,88,2,75,5,467.1,18
Pneumatic Drill,Facom,1512,112,215,1566.4,7.3,127,1,74,3,301.2,15
Borescope,Makita,1240,300,127,1264.6,10.0,35,0,83,2,124.0,16
Multimeter,Bosch,362,276,88,830.0,9.4,65,1,32,2,186.2,7
Hydraulic Pump,Facom,1169,346,60,627.7,10.5,16,2,74,2,416.9,18
Digital Torque Wrench,Snap-on,1695,332,26,13.2,0.5,5,0,79,5,169.5,-8
Digital Torque Wrench,Makita,710,285,200,640.3,3.2,107,0,48,5,71.0,7
Hydraulic Pump,Snap-on,1229,101,110,1242.4,11.3,66,2,86,2,422.9,4
Pneumatic Drill,Bosch,280,139,260,1971.4,7.6,178,0,105,3,28.0,12
Digital Torque Wrench,Snap-on,914,209,121,282.2,2.3,51,1,12,5,241.4,5
Multimeter,Facom,1444,357,150,985.7,6.6,63,1,50,2,294.4,7
Digital Torque Wrench,Facom,1426,315,193,479.9,2.5,136,1,1,5,292.6,-3
